Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2015-04-21,373.0,373.25,377.0,371.25,0.0,0.0,0.0,5.75,101.54882154882155,0.0,0.0,0.0,0.0,373.0,0.0,30.434782608695656,30.434782608695656,30.434782608695656,,,
2015-04-22,372.5,372.5,374.0,369.25,373.0,-0.5,-0.13404825737265416,4.75,101.28639133378469,1.2734584450402144,0.0,0.0,0.0,372.70000000000005,-0.061111111111055536,37.335203366058906,34.5750350631136,42.85553997194951,,,
2015-04-23,370.75,371.0,378.0,370.25,372.5,-1.75,-0.4697986577181208,7.75,102.09318028359218,2.0805369127516777,0.0,0.0,0.0,371.7763157894737,-0.4024260904633978,27.770407786647542,31.351790563734944,20.60764223247274,,,
2015-04-24,364.5,364.0,371.25,363.75,370.75,-6.25,-1.6857720836142953,7.5,102.06185567010309,2.0229265003371544,0.0,0.0,0.0,368.7538461538462,-1.9660914120957542,18.42124244693079,25.98063980752399,3.3024477257443934,,,
2015-04-27,360.75,360.5,365.25,360.5,364.5,-3.75,-1.02880658436214,4.75,101.31761442441054,1.3031550068587106,368.3,0.0,0.0,365.68127962085316,-3.4748303422970377,11.897989591541652,20.574503942620815,-5.455039110616674,,,4.539999999999997
2015-04-28,361.0,361.0,363.5,359.0,360.75,0.25,0.0693000693000693,4.5,101.25348189415043,1.2474012474012475,365.9,0.0,0.0,363.9706766917294,-3.8341279497693304,11.396761420259674,17.220832614900882,-0.25138096902274043,,,4.579999999999996
2015-04-29,363.75,363.75,364.5,359.5,361.0,2.75,0.7617728531855956,5.0,101.39082058414463,1.3850415512465373,364.15,0.0,0.0,363.8925449247208,-2.850295956497516,16.213061043684004,16.864025681721134,14.911131767609739,,,2.7799999999999954
2015-04-30,362.5,366.0,367.75,360.0,363.75,-1.25,-0.3436426116838488,7.75,102.15277777777779,2.1305841924398625,362.5,0.0,0.0,363.409516256939,-2.590896814321665,16.978941710254382,16.903886324766688,17.12905248122977,,,1.3
2015-05-01,359.75,361.5,363.0,357.5,362.5,-2.75,-0.7586206896551724,5.5,101.53846153846153,1.5172413793103448,361.55,0.0,0.0,362.1570992645142,-3.2863413907407297,14.924387385950858,16.226431182230012,12.32029979339255,,,1.2600000000000022
2015-05-04,358.75,362.25,360.75,356.75,359.75,-1.0,-0.27797081306462823,4.0,101.12123335669236,1.111883252258513,361.15,0.0,0.0,361.00135717363213,-3.8343816191641906,13.054418368944596,15.150434142955616,8.862386820922556,,,1.5799999999999954
2015-05-05,361.25,355.75,361.75,354.0,358.75,2.5,0.6968641114982579,7.75,102.18926553672316,2.1602787456445993,361.2,0.0,0.0,361.0852075111794,-2.9250471656162964,18.83926879488758,16.394427525910007,23.728951332842726,,,1.5600000000000023
2015-05-06,366.5,361.75,369.0,361.75,361.25,5.25,1.453287197231834,7.25,102.00414651002075,2.006920415224913,361.75,0.0,0.0,362.9041576197746,-0.13640597054791503,36.852939506142704,23.266900047242878,64.02501842394236,,,2.2
