Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,836.25,843.5,845.75,834.25,842.25,-6.0,-0.007123775601068566,0.0,11.5,1.0137848366796525,0.01365390323538142,846.3,857.7333333333333,859.5,844.9817419411114,-23.865355265530887,8.323700985142901,14.49188320399415,-4.012663452559593,0.5051473173560197,33.561320644903674,5.8599999999999905
2020-04-17,842.25,848.75,851.75,841.5,845.75,-3.5,-0.004138338752586462,1.0071748878923767,10.25,1.0121806298276887,0.012119420632574637,851.5,860.75,861.3333333333334,849.347612911667,-19.659365835890895,10.173412749390652,17.575974313419774,-4.6317103786675915,0.5675025339250762,36.20424985878854,6.0
2020-04-16,845.75,851.0,857.0,845.0,851.75,-6.0,-0.007044320516583505,1.0113602391629297,12.0,1.0142011834319526,0.01408864103316701,855.75,863.2833333333333,863.1583333333333,852.8964193675005,-16.273726644729336,14.21845245741931,21.277255095434338,0.10084718138925552,0.6081664609834337,37.817382450043446,5.7
2020-04-15,851.75,856.0,862.5,848.75,855.5,-3.75,-0.004383401519579193,1.0185351270553065,13.75,1.01620029455081,0.016072472238457043,857.5,865.6666666666666,865.2083333333334,856.4696290512505,-12.372214619741596,20.173832532282812,24.80665641444185,10.908184767964734,0.6864659719271994,40.70440692869387,4.3
2020-04-14,855.5,862.5,864.5,854.25,862.25,-6.75,-0.007828356045230501,1.023019431988042,10.25,1.0119988293824993,0.01188750362423891,858.1,868.0,866.9333333333333,858.8294435768757,-10.016052728120759,24.65730052256215,27.12306835552137,19.725764856643707,0.7419001173949044,42.59142702765597,3.8200000000000047
2020-04-13,862.25,871.0,877.5,858.0,863.5,-1.25,-0.0014475969889982628,1.0310911808669656,19.5,1.0227272727272727,0.0225825130283729,858.1,869.9,868.45,860.4941653653135,-8.527961923086654,27.95369271932709,28.35595227200098,27.149173613979308,0.8576609992109893,46.168865017635966,3.8200000000000047
2020-04-09,863.5,855.5,867.0,853.75,854.5,9.0,0.010532475131655939,1.0325859491778775,13.25,1.015519765739385,0.0155061439438268,856.5,869.9166666666666,869.4666666666667,859.6162480479703,-11.214854968601998,24.30233395078551,28.55708204833793,15.792837755680672,0.8813074175598069,46.84547614780188,2.8
2020-04-08,854.5,855.75,860.5,851.75,854.75,-0.25,-0.0002924831822170225,1.0218236173393125,8.75,1.0102729674200177,0.010236911377595788,855.55,868.5666666666667,870.5166666666667,857.6743720719554,-16.113167101371054,19.40804638072372,30.684456097114133,-3.144773052057097,0.6969767821384626,41.07167460830903,1.2799999999999727
2020-04-07,854.75,856.0,862.25,854.25,855.5,-0.75,-0.0008766803039158387,1.0221225710014947,8.0,1.009364940005853,0.009351256575102279,857.2,866.6333333333333,871.7666666666667,859.2615581079332,-15.614824594603588,22.293887752903768,36.32266095530934,-5.763658651907377,0.700306431112024,41.18707182998854,2.840000000000009
2020-04-06,855.5,853.5,859.0,848.5,854.25,1.25,0.0014632718759145448,1.0230194319880417,10.5,1.0123747790218032,0.012291483757682178,863.45,864.6,872.8833333333333,861.5173371618997,-13.894891115469653,26.338558902082923,43.33704755651212,-7.658418406775468,0.7097518945541957,41.511981756818464,9.020000000000028
