,Date,Open,High,Low,Close,Adj Close,Volume,LastClose,DailyRise,DailyRiseRate
0,2020-05-08,24107.820313,24349.900391,24107.050781,24331.320313,24331.320313,335760000,23875.890625,455.42968800000017,0.019074877463340707
1,2020-05-07,23837.210938,24094.619141,23834.390625,23875.890625,23875.890625,369890000,23664.640625,211.25,0.008926820539874562
2,2020-05-06,23978.880859,24054.589844,23661.140625,23664.640625,23664.640625,377450000,23883.089844,-218.44921899999827,-0.009146606256848207
3,2020-05-05,23958.880859,24169.720703,23868.910156,23883.089844,23883.089844,369710000,23749.759766,133.33007799999905,0.0056139548068555
4,2020-05-04,23581.550781,23769.560547,23361.160156,23749.759766,23749.759766,355360000,23723.689453,26.07031300000017,0.0010989147810103132
5,2020-05-01,24120.779297,24120.779297,23645.300781,23723.689453,23723.689453,418160000,24345.720703,-622.03125,-0.025549921384062795
6,2020-04-30,24585.570313,24585.570313,24186.900391,24345.720703,24345.720703,487840000,24633.859375,-288.13867200000095,-0.011696854626539856
7,2020-04-29,24490.369141,24764.769531,24453.990234,24633.859375,24633.859375,455290000,24101.550781,532.3085939999983,0.022086072337703416
8,2020-04-28,24357.169922,24512.240234,24031.199219,24101.550781,24101.550781,400250000,24133.779297,-32.22851599999922,-0.0013354110685849128
9,2020-04-27,23866.150391,24207.650391,23840.609375,24133.779297,24133.779297,389390000,23775.269531,358.5097659999992,0.015079104173037743
10,2020-04-24,23628.240234,23826.0,23417.679688,23775.269531,23775.269531,376020000,23515.259766,260.0097650000025,0.01105706539444411
11,2020-04-23,23543.089844,23885.359375,23483.349609,23515.259766,23515.259766,389290000,23475.820313,39.43945299999905,0.0016800031894160907
12,2020-04-22,23437.339844,23613.099609,23339.599609,23475.820313,23475.820313,352880000,23018.880859,456.9394539999994,0.01985063725725587
13,2020-04-21,23365.25,23365.25,22941.880859,23018.880859,23018.880859,485140000,23650.439453,-631.5585939999983,-0.02670388409716787
14,2020-04-20,24095.099609,24108.689453,23627.189453,23650.439453,23650.439453,423410000,24242.490234,-592.0507810000017,-0.024422028235764854
15,2020-04-17,23817.150391,24264.210938,23817.150391,24242.490234,24242.490234,525950000,23537.679688,704.8105460000006,0.029943926306352436
16,2020-04-16,23543.660156,23598.080078,23211.380859,23537.679688,23537.679688,471050000,23504.349609,33.33007899999939,0.0014180387696087126
17,2020-04-15,23600.720703,23649.720703,23233.320313,23504.349609,23504.349609,437630000,23949.759766,-445.41015699999843,-0.018597687882962392
18,2020-04-14,23690.570313,24040.580078,23683.439453,23949.759766,23949.759766,485910000,23390.769531,558.9902349999975,0.02389789845345458
19,2020-04-13,23698.929688,23698.929688,23095.349609,23390.769531,23390.769531,394320000,23719.369141,-328.5996099999975,-0.01385364037494565
20,2020-04-09,23690.660156,24008.990234,23504.089844,23719.369141,23719.369141,566400000,23433.570313,285.79882799999905,0.012196128211903304
21,2020-04-08,22893.470703,23513.400391,22682.990234,23433.570313,23433.570313,472740000,22653.859375,779.7109380000002,0.034418459349158916
22,2020-04-07,23537.439453,23617.240234,22634.449219,22653.859375,22653.859375,594660000,22679.990234,-26.130859000000783,-0.0011521547730134168
