Date,Close/Last,Open,High,Low,DailyIncreasingRate,DailyFlucRange,DailyFlucRate,OpenLastCloseRate
2020-04-20,171.69,183.41,173.5,169.85,-6.629323471829451,3.6500000000000057,2.125924631603475,-0.2556014792255813
2020-04-19,183.88,187.28,184.16,178.9,-1.6789648165971616,5.259999999999991,2.8605612355884222,0.1390225644316067
2020-04-18,187.02,173.34,188.23,184.82,8.285565398645133,3.4099999999999966,1.8233344027376732,0.3647733194372042
2020-04-17,172.71,170.96,173.95,170.61,0.7525376268813666,3.339999999999975,1.9338775982861298,-0.26834675067085495
2020-04-16,171.42,153.09,173.14,170.19,11.980663705252148,2.9499999999999886,1.7209193793022919,0.006532532009400904
2020-04-15,153.08,159.8,153.55,148.91,-4.36086467574659,4.640000000000015,3.031094852364786,-0.1624390853429907
2020-04-14,160.06,157.44,160.13,155.94,1.3166223572604219,4.189999999999998,2.6177683368736706,-0.34181541967337137
2020-04-13,157.98,153.94,158.35,155.52,3.552700576822221,2.829999999999984,1.7913659956956478,0.9045621394861009
2020-04-12,152.56,156.91,158.76,150.6,-2.1423989737010873,8.159999999999997,5.348715259570003,0.6478511866581083
2020-04-11,155.9,159.81,159.36,155.75,-2.4222319584402574,3.6100000000000136,2.315586914688912,0.025035989234519645
2020-04-10,159.77,168.29,160.36,157.75,-2.251453043744256,2.6100000000000136,1.6335982975527403,2.9611501988375672
2020-04-09,163.45,170.21,170.1,163.22,-3.999765065194405,6.8799999999999955,4.209238299174057,-0.029366850698921036
2020-04-08,170.26,168.76,173.18,169.87,-1.126596980255512,3.3100000000000023,1.9440855162692365,-1.9976771196283378
2020-04-07,172.2,169.92,172.85,163.73,0.955619393797269,9.120000000000005,5.296167247386762,-0.38107521838541697
2020-04-06,170.57,143.6,175.78,167.58,18.443163669189634,8.199999999999989,4.807410447323672,-0.284702451218663
2020-04-05,144.01,144.46,144.55,142.55,0.07644197359275573,2.0,1.3887924449690994,0.38915913829048104
2020-04-04,143.9,139.92,145.26,143.44,2.7857142857142803,1.8199999999999932,1.2647671994440537,-0.05714285714286607
2020-04-03,140.0,142.26,142.02,139.36,-1.4015071483907349,2.6599999999999966,1.8999999999999975,0.19015423621380503
2020-04-02,141.99,136.22,142.7,140.42,4.61209754659988,2.280000000000001,1.6057468835833515,0.3610108303249165
2020-04-01,135.73,132.48,137.93,135.26,2.1755495332731023,2.670000000000016,1.9671406468724795,-0.27100271002711057
2020-03-31,132.84,133.0,133.4,131.27,0.2944507361268611,2.1299999999999955,1.6034327009936733,0.41525103812760394
2020-03-30,132.45,127.01,134.0,131.14,4.414662987780837,2.8600000000000136,2.159305398263506,0.12613322822231834
2020-03-29,126.85,130.02,127.45,125.02,-2.5505108704002355,2.430000000000007,1.915648403626336,-0.11523392486746355
