Aluminum,-0.8484476238240164,0.780567354838813,1.0
Industrial Machinery/Components,-0.855205742566526,0.6812185325385584,2.0
Computer Manufacturing,-0.8228568239148559,-0.015115568812278124,1.0
Major Pharmaceuticals,-0.8663213124324289,0.9407661940374333,1.0
Major Banks,-0.8790045657840784,0.6259760516025856,2.0
Medical/Dental Instruments,-0.854855913171006,0.812873610006816,1.0
Metal Fabrications,-0.8041174897676084,-0.5475976043299,1.0
Services-Misc. Amusement & Recreation,-0.8891226797635584,0.7190564690285751,1.0
Property-Casualty Insurers,-0.7923487576625406,0.7962098262423077,1.0
Major Chemicals,-0.8983339177143663,0.8423773190906662,1.0
EDP Services,-0.9225400211270159,0.585991990178963,1.0
Power Generation,-0.8048151898033118,0.7214855195506302,1.0
Electric Utilities: Central,-0.897218455702468,0.5900465440075363,1.0
Farming/Seeds/Milling,-0.9194230710450475,0.8174736686935609,1.0
Finance: Consumer Services,-0.8836923443486302,0.32324910398215423,1.0
Aerospace,-0.8991076734384233,0.6740575686087041,2.0
Oil & Gas Production,-0.9059824270496443,0.836349123397446,1.0
Consumer Electronics/Appliances,-0.8457169799009584,-0.34298523245221124,1.0
Marine Transportation,-0.7369587560060015,-0.8094291996519593,1.0
Oilfield Services/Equipment,-0.8912773107526695,0.6717434666907313,1.0
Paper,-0.8510047386944781,0.5619852369936502,1.0
Railroads,-0.7128680959576988,0.0961768469596049,1.0
Auto Manufacturing,-0.9604587400225669,0.42310551245242284,1.0
