Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2015-04-21,16.008,15.92,16.165,15.86,0.0,0.0,0.0,0.3049999999999997,101.92307692307692,0.0,0.0,0.0,0.0,16.008,0.0,48.52459016393437,48.52459016393437,48.52459016393438,,,
2015-04-22,15.796,15.965,16.075,15.655,16.008,-0.21199999999999974,-1.3243378310844562,0.41999999999999993,102.6828489300543,2.6236881559220384,0.0,0.0,0.0,15.880799999999999,-0.025911111111111516,35.9980713596914,41.00867888138859,25.976856316297017,,,
2015-04-23,15.829,15.76,15.92,15.705,15.796,0.03300000000000125,0.20891364902507753,0.21499999999999986,101.36899076727157,1.3611040769815135,0.0,0.0,0.0,15.856263157894734,-0.022498755339090806,35.10734405928042,38.21330975512682,28.89541266758762,,,
2015-04-24,15.68,15.91,15.925,15.595,15.829,-0.1490000000000009,-0.9413102533324967,0.33000000000000007,102.11606284065407,2.0847810979847123,0.0,0.0,0.0,15.783046153846154,-0.054657835161423765,26.71862543384648,33.43859472936422,13.278686842810998,,,
2015-04-27,16.439,15.74,16.49,15.72,15.68,0.7590000000000003,4.840561224489798,0.7699999999999978,104.89821882951654,4.910714285714271,15.950399999999998,0.0,0.0,16.034857819905213,0.14340618325848964,52.66282967104265,40.81851430413177,76.35146040486441,,,0.21847999999999956
2015-04-28,16.63,16.41,16.7,16.325,16.439,0.19099999999999895,1.161871160046225,0.375,102.29709035222052,2.2811606545410306,16.0748,0.0,0.0,16.25233082706767,0.28119868761955447,67.64563549675623,50.621507461737394,101.6938915667939,,,0.3677599999999998
2015-04-29,16.702,16.62,16.725,16.415,16.63,0.07200000000000273,0.4329524954900946,0.3100000000000023,101.88851660067013,1.8641010222489613,16.256,0.0,0.0,16.411538610976205,0.3526729758897863,78.38022821804337,60.4496315177583,114.2414216186135,,,0.40120000000000006
2015-04-30,16.153,16.575,16.73,15.8,16.702,-0.549000000000003,-3.287031493234361,0.9299999999999997,105.88607594936707,5.568195425697519,16.3208,0.0,0.0,16.321859952418716,0.1765561253354301,68.24571786955448,63.15384101044319,78.42947158777707,,,0.3234400000000008
2015-05-01,16.135,16.145,16.26,15.895,16.153,-0.01799999999999713,-0.11143440846899728,0.365000000000002,102.29631959735768,2.2596421717328177,16.4118,0.0,0.0,16.25790981169475,0.06646104573275867,61.172177053875146,62.47564492160886,58.565241318407715,,,0.2142399999999995
2015-05-04,16.441,16.13,16.765,16.125,16.135,0.3059999999999974,1.8964982956306002,0.6400000000000006,103.96899224806202,3.9665323830182864,16.412200000000002,0.0,0.0,16.320016906505817,0.11894678141933131,64.94952038417898,63.314822702389,68.21891574775894,,,0.21455999999999947
