Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,3265.43,3265.88,3310.11,3264.12,3301.3,-35.870000000000346,-1.086541665404548,45.99000000000024,101.40895555310468,1.3930875715627247,3237.655999999987,3053.2139999999986,2957.852333333332,3227.6998060482874,297.26621642599923,91.87952422132985,90.73231919951496,94.1739342649596,1.4482897002071609,59.155160440556294,36.56719999999996
2020-04-17,3301.3,3303.7,3304.06,3250.84,3230.5,70.80000000000018,2.191611205695718,53.2199999999998,101.63711533019158,1.6474229995356693,3205.707999999987,3026.2386666666653,2960.1443333333323,3208.834709072431,306.5218612650349,94.9396050570944,90.15871668860751,104.50138179406815,1.5776889586058016,61.20555986161839,52.14639999999999
2020-04-16,3230.5,3200.58,3239.22,3172.14,3175.36,55.13999999999987,1.7364960193489831,67.07999999999993,102.1146607652878,2.1125163760959365,3167.7159999999867,3003.821333333332,2962.595999999999,3162.602063608647,269.94718959593484,92.75259726010874,87.76827250436408,102.72124677159806,1.413934345653611,58.573852607029615,47.36079999999993
2020-04-15,3175.36,3162.45,3196.43,3149.43,3215.69,-40.32999999999993,-1.2541631811524097,47.0,101.49233353336953,1.4615836725555011,3136.803999999987,2976.6146666666655,2970.6623333333328,3128.6530954129703,249.47768332649298,90.07742306242083,85.27611012649174,99.680048934279,1.2955096264683925,56.43668889603025,46.9768000000001
2020-04-14,3215.69,3165.96,3220.6,3162.03,3105.69,110.0,3.5418860221078083,58.56999999999971,101.85229109148237,1.8858933119532117,3102.005999999987,2951.5046666666653,2975.986333333333,3105.2996431194556,244.46173184459286,90.22165315812732,82.87545365852719,104.9140521573276,1.4088214122869782,58.485921999066676,50.6808
2020-04-13,3105.69,3100.39,3110.49,3048.03,3111.34,-5.650000000000091,-0.18159378274312968,62.45999999999958,102.04919242920836,2.0074951628558617,3058.6839999999875,2909.081333333332,2982.669999999999,3050.1044646791834,183.9018930503669,85.88048304083615,79.20235390872712,99.23674130505421,1.1873007610312079,54.28155021861064,46.767200000000045
2020-04-09,3111.34,3105.1,3137.14,3080.11,3075.94,35.40000000000009,1.1508677022308658,57.029999999999745,101.85155724957875,1.8540673745261527,2999.4699999999875,2875.5006666666654,2988.409333333332,3022.3116970187752,162.1485897345564,83.13449846189339,75.8632893426726,97.67691670033497,1.1999790003315651,54.545020663866005,76.096
2020-04-08,3075.94,3025.23,3086.98,3002.05,3001.37,74.57000000000016,2.48453206369092,84.92999999999984,102.82906680435036,2.8297077667864956,2946.205999999988,2848.483333333332,2995.1196666666656,2977.7975455281635,108.56838505056089,78.24055108350747,72.22768478306222,90.26628368439799,1.1378537245783285,53.22411498489026,95.10879999999997
2020-04-07,3001.37,3092.2,3103.28,2996.36,2999.08,2.2899999999999636,0.07635674940314909,106.92000000000007,103.56832957321551,3.565093295277221,2890.719999999988,2822.105333333332,3007.4013333333323,2928.726318292245,39.666167044038446,71.49485753220772,69.22125163283958,76.04206933094397,1.0163346294049123,50.40505750302302,87.604
2020-04-06,2999.08,2914.41,3008.95,2901.95,2809.62,189.46000000000004,6.74326065446573,107.0,103.68717586450491,3.8083441888938716,2874.3879999999876,2811.806666666665,3022.4933333333324,2892.404477438368,-16.875786084499623,72.65190918517767,68.08444868315551,81.786830189222,1.0128694064472765,50.319678127305615,68.00559999999996
2020-04-03,2809.62,2843.21,2860.59,2779.56,2845.02,-35.40000000000009,-1.2442794778244122,81.0300000000002,102.91520960151968,2.848134635257404,2863.301999999988,2792.077333333332,3041.225999999999,2839.0667161575525,-110.65006653666711,61.065957202493564,65.80071843214444,51.59643474319182,0.7466568412508398,42.74776954562716,54.702400000000125
2020-04-02,2845.02,2777.55,2859.09,2777.55,2798.51,46.50999999999976,1.6619558264933756,81.53999999999996,102.93568072581951,2.913693358251354,2873.537999999988,2807.3393333333315,3069.9169999999995,2853.7900742363286,-100.20615329128142,72.45926587709,68.16809904696987,81.04159953733028,0.7828134661578812,43.90888228171804,46.513599999999954
2020-04-01,2798.51,2827.1,2865.04,2772.61,2919.71,-121.19999999999982,-4.151097198009386,92.42999999999984,103.33368198195923,3.1657253631353743,2897.5419999999885,2806.8886666666654,3098.4123333333328,2858.1751113544924,-106.09774687130925,72.8080205113621,66.02251563190981,86.3790302702667,0.7237355416829898,41.98646046227961,54.30959999999986
2020-03-31,2919.71,2921.46,2966.7,2902.52,2943.65,-23.940000000000055,-0.813276034854689,64.17999999999984,102.21118200735913,2.1802863791551252,2902.319999999988,2828.1993333333317,3129.091333333333,2888.007667031739,-68.9150579372178,78.53629157237918,62.62976319218367,110.34934833277022,0.8444537220347785,45.78340524061442,48.57599999999984
2020-03-30,2943.65,2884.18,2950.04,2862.72,2860.8,82.84999999999991,2.896043064876954,87.32000000000016,103.05024591996424,3.052293064876963,2878.119999999988,2850.6599999999985,3154.744333333333,2872.156500547608,-105.2499331928039,73.56467193116764,54.67649900208591,111.34101778933108,0.8711038662712168,46.55561254368923,60.979999999999926
2020-03-27,2860.8,2871.29,2938.13,2852.73,2965.04,-104.23999999999978,-3.5156355394868126,85.40000000000009,102.9936236517301,2.8802309580983763,2805.257999999988,2862.490666666665,3179.0626666666662,2836.4097508214127,-180.95300791999227,63.42801154516112,45.23241253754505,99.81920956039325,0.7696876524573582,43.49285318166643,92.98639999999996
2020-03-26,2965.04,2840.28,2971.18,2840.17,2822.4,142.63999999999987,5.0538548752834425,131.00999999999976,104.61275205357425,4.641794217687066,2753.4939999999874,2894.0499999999984,3205.7166666666662,2824.214626232119,-226.64620484330237,57.49512965742425,36.13461303373702,100.21616290479871,0.8731421979848087,46.61377010908009,130.26719999999995
2020-03-25,2822.4,2805.36,2928.03,2774.71,2798.71,23.690000000000055,0.8464614054332193,153.32000000000016,105.52562249748622,5.4782381883081905,2701.7019999999875,2921.370666666665,3228.8949999999995,2753.8019393481786,-379.108712802358,36.929848950402096,25.454354721893406,59.880837407419484,0.7023542180536816,41.25781876680695,88.83359999999993
2020-03-24,2798.71,2709.81,2799.3,2709.42,2579.34,219.3699999999999,8.504888847534636,89.88000000000011,103.31731514493879,3.4846123426923206,2673.275999999988,2964.709999999998,3255.476666666667,2719.5029090222674,-490.69682896409427,26.45808669031472,19.716607607639062,39.941044855666036,0.676015395954396,40.33467697171382,66.0927999999999
2020-03-23,2579.34,2602.13,2649.36,2524.41,2601.98,-22.639999999999873,-0.8701066111192196,124.95000000000027,104.9496714083687,4.802112237603681,2682.911999999988,3000.4679999999985,3282.0456666666664,2679.8993635334014,-627.1084728018726,13.050889988861075,16.345868066301236,6.460933833980754,0.4495385333512375,31.012527298045256,74.85839999999989
2020-03-20,2601.98,2735.17,2790.93,2597.49,2706.08,-104.09999999999991,-3.846892922603911,193.44000000000005,107.44718940207663,7.14834742505765,2707.6719999999877,3056.2586666666652,3315.377333333333,2730.1790453001017,-627.7323769865778,15.52724166175245,17.993357105021317,10.595010775214718,0.45951174323222216,31.483936005515886,55.687199999999756
2020-03-19,2706.08,2670.98,2768.18,2601.36,2680.27,25.809999999999945,0.9629626865950052,166.8199999999997,106.41279945874464,6.223999820913554,2794.985999999987,3101.3179999999984,3348.9553333333333,2794.2785679501526,-604.6747967837628,19.237301334989407,19.226414826655752,19.259074351656714,0.507592690753347,33.669086741174226,118.18720000000003
2020-03-18,2680.27,2666.41,2758.36,2544.19,2846.89,-166.6199999999999,-5.852702422643653,214.17000000000007,108.41800337238965,7.5229460920513285,2821.4219999999873,3141.7559999999985,3378.6303333333335,2838.3778519252287,-612.9257431809402,17.500509610890052,19.220971572488924,14.059585687692312,0.48350312370677884,32.591985549627026,103.77360000000007
2020-03-17,2846.89,2762.48,2885.06,2672.97,2703.14,143.75,5.317889565468308,212.09000000000015,107.9346195430551,7.846060507409907,2909.001999999987,3192.6973333333317,3408.9346666666665,2917.431777887843,-562.1313620177717,17.764010936317124,20.081202553288364,13.129627702374648,0.5651077324134374,36.106634751719376,135.48639999999995
2020-03-16,2703.14,2874.54,2897.73,2695.43,3038.55,-335.4100000000003,-11.038488752859104,202.30000000000018,107.50529600100913,6.657780849418314,2990.947999999987,3233.1799999999985,3430.7679999999996,2952.702666831765,-579.7626026734682,15.263668467984372,21.239798361773982,3.311408680405151,0.4298969137515123,30.06488856763977,176.19840000000013
2020-03-13,3038.55,2984.65,3039.31,2811.66,2838.26,200.28999999999996,7.056788313967006,227.6500000000001,108.09664041882732,8.020759197536522,3074.541999999987,3290.374666666665,3455.6573333333336,3077.484000247647,-445.6056526029144,22.399676389097934,24.227863308668788,18.743302549956226,0.6080156877011955,37.81155198618797,108.90959999999995
2020-03-12,2838.26,2900.03,3013.98,2835.65,3118.17,-279.90999999999985,-8.976739561986673,178.32999999999993,106.28885793380707,5.719059576610638,3133.669999999987,3332.4946666666647,3471.1963333333333,3096.9510003714713,-474.2628696714562,16.451150892315916,25.141956768454218,-0.9304608599606894,0.37827181034746477,27.44537089909005,129.38799999999992
2020-03-11,3118.17,3172.57,3202.71,3079.03,3256.62,-138.44999999999982,-4.251340346739866,123.67999999999984,104.01684946233067,3.79780262972038,3240.987999999987,3389.9359999999974,3492.742,3226.2965005572064,-317.55185526299545,24.472039720743766,29.487359706523364,14.44139974918457,0.538955248723665,35.02085256674282,97.07839999999987
2020-03-10,3256.62,3213.78,3257.02,3093.8,3121.11,135.50999999999976,4.341724578755627,163.2199999999998,105.27571271575408,5.229549743520728,3311.851999999987,3429.983333333331,3505.500333333334,3280.3597508358102,-268.6995877177494,31.743322658897387,31.995019699413167,31.239928577865832,0.6695927046472175,40.10515275872037,98.38959999999989
2020-03-09,3121.11,3122.85,3217.55,3108.25,3334.19,-213.07999999999993,-6.390757575303145,109.30000000000018,103.51644816214913,3.278157513519031,3327.543999999988,3458.828666666664,3512.4083333333338,3292.229626253715,-285.77594698648426,26.15798496354445,32.12086821967106,14.232218451291232,0.4492956400617425,31.000965409831892,82.57359999999971
2020-03-06,3334.19,3259.35,3345.91,3259.17,3374.85,-40.659999999999854,-1.204794287153499,86.73999999999978,102.6614137955369,2.570188304665386,3386.561999999988,3495.634666666664,3525.3220000000006,3377.7894393805727,-178.23237009972235,37.65592062070824,35.10230984773437,42.76314216665598,0.6623445647676317,39.843999782332524,46.22640000000001
2020-03-05,3374.85,3377.17,3436.96,3348.32,3472.49,-97.63999999999987,-2.8118151528154116,88.63999999999987,102.64729774931907,2.5526351407779395,3375.297999999988,3517.3833333333305,3532.7190000000005,3399.5891590708593,-165.56121848817003,38.86928641933462,33.82550446124743,48.956850335509,0.7231000565596335,41.96506487286557,55.23759999999993
2020-03-04,3472.49,3382.9,3472.92,3368.9,3335.08,137.40999999999985,4.1201410460918435,104.01999999999998,103.08765472409391,3.118965661993115,3362.8579999999884,3536.4193333333305,3538.645000000001,3411.9587386062885,-167.39360277297862,35.81381802242142,31.303613482203833,44.834227102856595,0.9090333131300873,47.61746727403195,65.18959999999997
2020-03-03,3335.08,3404.4,3473.21,3303.73,3416.2,-81.11999999999989,-2.374568233709967,169.48000000000002,105.12995916736539,4.9610678531701895,3357.237999999988,3546.2433333333306,3541.0620000000004,3381.6931079094325,-243.01531295412204,25.783120818531412,29.04851121209504,19.252340031404152,0.5730137476303899,36.42776476007193,58.44560000000001
2020-03-02,3416.2,3290.46,3416.27,3260.36,3277.87,138.32999999999993,4.220118552596654,155.90999999999985,104.78198726520998,4.756442445856604,3381.047999999989,3563.6233333333303,3548.8280000000004,3404.999661864149,-236.91308686320323,25.41960920701234,30.681206408876857,14.8964148032833,0.7023948340760388,41.259220247649424,68.63039999999992
2020-02-28,3277.87,3214.11,3282.29,3196.31,3312.65,-34.7800000000002,-1.0499147208428359,85.98000000000002,102.68997687958927,2.5955051092026027,3410.0199999999886,3574.4959999999974,3553.7453333333337,3399.399492796223,-279.8334743632945,17.365877711105863,33.31200500980911,-14.526376886300639,0.3448672916295834,25.643220991099113,91.80800000000008
2020-02-27,3312.65,3385.88,3442.43,3311.1,3444.39,-131.73999999999978,-3.8247701334633932,131.32999999999993,103.96635559179728,3.81286671950621,3488.5159999999887,3596.5926666666637,3562.450333333334,3460.164239194335,-214.39930939523776,18.347356726429158,41.285068659160736,-27.528067139033993,0.3762755630512766,27.340132539813,101.75120000000007
2020-02-26,3444.39,3478.89,3514.94,3436.49,3454.13,-9.740000000000236,-0.2819812803803052,78.45000000000027,102.28285256177088,2.2711941936175033,3565.9619999999886,3615.5046666666635,3569.9473333333344,3533.9213587915024,-117.43042520516371,27.334162018656063,52.75392462552653,-23.50536319508487,0.5536137686441498,35.633938100799185,95.32239999999993
2020-02-25,3454.13,3583.56,3587.69,3449.85,3561.06,-106.92999999999984,-3.0027576058813903,137.84000000000015,103.99553603779874,3.8707575834161783,3620.8599999999888,3625.1719999999973,3572.813000000001,3578.687038187254,-56.87765639174515,39.63601992633544,65.46380592896176,-12.0195520789172,0.5721253755888595,36.39184154600663,90.61200000000008
2020-02-24,3561.06,3579.3,3593.24,3537.02,3670.35,-109.28999999999996,-2.977645183701826,56.2199999999998,101.5894736246897,1.5317340308144947,3667.8939999999884,3628.3559999999975,3574.457000000001,3640.9655572808806,42.34004748940485,58.67858328298792,78.37769893027492,19.28035198841394,0.8680053435479662,46.46696255693434,42.73359999999993
2020-02-21,3670.35,3685.66,3690.59,3655.88,3699.88,-29.5300000000002,-0.7981339935349309,34.710000000000036,100.94942941234395,0.9381385342227325,3690.3219999999883,3620.9399999999973,3572.7316666666675,3680.9183359213207,116.97225601940886,81.65134950075308,88.22725675391841,68.49953499442242,1.7047056527854485,63.02740008066507,15.246400000000085
2020-02-20,3699.88,3703.46,3719.77,3660.99,3718.88,-19.0,-0.5109065094867271,58.7800000000002,101.60557663364283,1.5805834014542066,3688.3359999999884,3609.897999999998,3566.627000000001,3686.202503881981,142.30235453895682,91.06865851845772,91.51521038050106,90.17555479437107,2.248506724418538,69.21662521172729,17.220800000000054
2020-02-19,3718.88,3705.69,3725.82,3704.65,3689.3,29.579999999999927,0.8017781150895813,21.170000000000073,100.57144399605902,0.5738215921719586,3680.4379999999883,3595.5479999999975,3558.8956666666677,3679.3637558229716,150.29316694225156,95.11683837503465,91.73848631152272,101.87354250205848,2.777951681387704,73.53063023737022,18.921600000000034
2020-02-18,3689.3,3676.32,3692.76,3670.55,3673.2,16.100000000000364,0.43830992050529144,22.210000000000036,100.6050864311888,0.6046498965479701,3660.631999999988,3581.017333333331,3550.529333333334,3659.6056337344576,137.14204838698763,94.95305722121026,90.04931027976676,104.76055110409726,2.4375540647890106,70.90954844192748,16.49440000000004
2020-02-14,3673.2,3669.62,3674.89,3661.15,3660.42,12.779999999999745,0.3491402625928103,13.739999999999782,100.37529191647432,0.3753667611913327,3641.9279999999876,3565.9879999999976,3542.7876666666675,3644.7584506016865,130.62490645715295,93.87995471176174,87.597436809045,106.44499051719521,2.2655140252977803,69.37694977718522,27.290399999999956
2020-02-13,3660.42,3644.08,3672.69,3638.48,3660.39,0.03000000000020009,0.0008195847983466268,34.210000000000036,100.94022778742773,0.9345998650417042,3623.1459999999875,3555.0093333333307,3536.3990000000003,3630.53767590253,124.28461837129527,91.49973898638761,84.45617785768663,105.58686124378957,2.1387050982300257,68.13972741294113,29.80719999999992
2020-02-12,3660.39,3637.79,3660.76,3635.58,3619.85,40.539999999999964,1.1199359089465022,25.18000000000029,100.6925992551395,0.6956089340718619,3612.9259999999877,3548.054666666664,3529.5443333333337,3615.5965138537945,115.82364848504332,90.47499095158604,80.93439729333613,109.55617826808583,2.138428687087857,68.13692137998208,21.755199999999967
2020-02-11,3619.85,3613.12,3628.61,3609.19,3595.78,24.06999999999971,0.6693957917336352,19.420000000000073,100.53807086908697,0.5400775353330869,3600.1139999999878,3540.870666666664,3522.4366666666674,3593.199770780692,93.33156899701112,85.79607957725939,76.16410046421117,105.06003780335584,1.7915853534103006,64.17806108710363,11.576800000000002
2020-02-10,3595.78,3577.18,3595.78,3576.64,3579.29,16.490000000000236,0.460705894185725,19.140000000000327,100.53513912498882,0.5347429238759734,3594.023999999988,3535.880666666664,3517.3930000000005,3579.8746561710377,83.33299603153657,81.00961947161973,71.34811090768706,100.33263659948508,1.600361962859446,61.54381527330271,7.74320000000007
2020-02-07,3579.29,3588.42,3592.72,3573.48,3609.32,-30.0300000000002,-0.8320126782884365,19.23999999999978,100.53841073687273,0.5330643999423653,3575.2459999999883,3534.032666666664,3513.271666666667,3571.9219842565567,81.20083209582705,77.40325539253115,66.51735662572072,99.175052926152,1.4787151047895672,59.656517279145085,29.342399999999998
2020-02-06,3609.32,3604.01,3616.65,3595.03,3596.33,12.990000000000236,0.3612015582552279,21.61999999999989,100.60138580206564,0.6011684133547225,3549.351999999988,3532.994666666664,3509.6606666666676,3568.2379763848353,86.13517146814479,76.64664381114437,61.07440724231552,107.79111694880207,1.861676621540263,65.05545062384576,58.79759999999997
2020-02-05,3596.33,3610.15,3612.64,3579.1,3589.4,6.929999999999836,0.19306847941159627,33.539999999999964,100.93710709396217,0.9344180085808204,3528.4319999999884,3528.3079999999973,3504.7990000000004,3547.696964577253,62.704603195436,66.99404480215311,53.288288957901095,94.40555649065716,1.7576511337573018,63.737254950103164,51.54639999999999
2020-02-04,3589.4,3557.79,3605.82,3550.59,3501.89,87.51000000000022,2.498936288689828,55.23000000000002,101.555516125489,1.5771483398964565,3506.0919999999883,3524.389999999997,3500.521666666667,3523.3804468658786,29.482475564105386,55.09685055350641,46.43541103577508,72.41972958896905,1.706118877107315,63.04670838891814,33.323199999999815
2020-02-03,3501.89,3483.04,3515.51,3482.48,3449.82,52.06999999999971,1.5093541112289832,33.0300000000002,100.9484620155751,0.9574412578047607,3488.3959999999884,3520.453999999997,3495.784333333334,3490.370670298818,-23.388363157097537,37.46787921371828,42.10469127690942,28.19425508733599,1.1018657217504206,52.42322144312785,16.93679999999995
2020-01-31,3449.82,3490.48,3497.56,3439.45,3504.72,-54.899999999999636,-1.5664589467917447,58.11000000000013,101.68951431188127,1.6580497158118233,3480.7899999999886,3520.557999999997,3493.3106666666667,3484.611005448227,-36.700716662533054,32.8565153421941,44.42309730850499,9.723351409572317,0.7680059152037138,43.43910326313712,19.159999999999947
2020-01-30,3504.72,3457.41,3505.94,3456.85,3484.63,20.08999999999969,0.576531798210992,49.090000000000146,101.42007897363207,1.408757888211952,3492.529999999989,3524.5233333333304,3492.2980000000002,3502.00650817234,-11.970480030078164,44.27139461588225,50.20638829166044,32.40140726432587,1.1409335565005945,53.29140425849912,14.627999999999883
2020-01-29,3484.63,3504.8,3505.03,3480.2,3500.92,-16.289999999999964,-0.4653062623538945,24.830000000000382,100.71346474340557,0.709242142065525,3502.805999999988,3523.355999999997,3489.5306666666665,3500.64976225851,-16.114001933890485,42.065449901573025,53.17388512954954,19.84857944561999,0.9759339462801417,49.39102079385891,23.603199999999834
2020-01-28,3500.92,3483.17,3511.41,3476.63,3463.86,37.059999999999945,1.0699046728216481,34.779999999999745,101.00039405976477,1.0040821511261928,3516.405999999988,3522.2433333333306,3486.5389999999998,3508.659643387764,-4.70083599966663,45.8294803022961,58.7281027435378,20.032235419812693,1.114377128203758,52.70474757502049,30.367199999999958
2020-01-27,3463.86,3437.62,3479.18,3435.58,3508.52,-44.659999999999854,-1.272901394320108,43.59999999999991,101.26907247102382,1.2426892250863586,3525.221999999988,3520.0413333333304,3483.1363333333334,3512.5294650816454,1.1641836706545234,45.74041817207527,65.17741396415865,6.866426587908535,0.8147019341685953,44.89453164890412,31.22559999999994
2020-01-24,3508.52,3559.59,3560.54,3491.43,3556.1,-47.57999999999993,-1.3379826214110944,69.11000000000013,101.97941817536082,1.9434211636343222,3546.061999999988,3519.5873333333307,3479.835,3536.864197622468,43.12561108435301,58.65428308123635,74.89591186020034,26.171025523308373,1.2257339212790115,55.07099970757722,15.441600000000108
2020-01-23,3556.1,3541.87,3558.4,3524.3,3552.63,3.4699999999998,0.09767411748478733,34.09999999999991,100.96756802769345,0.9598522784528619,3557.101999999988,3517.7886666666645,3474.8336666666664,3551.0362964337023,73.44527934815505,78.06498038372054,83.01672624968234,68.16148865179696,2.4471211774186634,70.99028584922453,7.030399999999918
2020-01-22,3552.63,3560.72,3577.6,3549.36,3545.0,7.630000000000109,0.21523272214386768,28.23999999999978,100.79563639642075,0.7966149506346906,3553.6859999999883,3511.033999999998,3468.3073333333327,3548.504444650554,79.21721034525783,80.65529627869597,85.49259918266324,70.98069047076143,2.379640795334665,70.41105666080185,9.76319999999996
2020-01-21,3545.0,3546.61,3553.12,3535.01,3568.06,-23.059999999999945,-0.6462895803321678,18.109999999999673,100.51230406703233,0.5075587293935548,3550.6719999999887,3504.002666666665,3462.475666666666,3546.4416669758307,86.6087211783533,86.72894012998734,87.91125063464688,84.36431912066826,2.2418602457481644,69.1535129772623,12.174399999999968
2020-01-17,3568.06,3571.45,3572.8,3559.48,3563.72,4.3400000000001455,0.12178285611664624,13.320000000000164,100.37421196354524,0.37376673812757916,3547.743999999989,3498.9053333333313,3455.8426666666655,3547.1625004637463,99.83882262191372,93.07072323764748,88.50240588697663,102.20735793898919,3.6552136073802646,78.51870860631135,14.516799999999966
2020-01-16,3563.72,3551.65,3563.86,3546.59,3539.02,24.699999999999818,0.6979333261750377,17.269999999999982,100.48694661632722,0.4879882001231974,3534.8219999999883,3492.5106666666647,3448.426666666666,3536.713750695619,95.67139669061498,91.6086197107172,86.2182472116412,102.38936470886921,3.545037363195473,77.99798065253017,14.333599999999933
2020-01-15,3539.02,3536.98,3554.37,3532.1,3537.56,1.4600000000000364,0.041271384796301304,22.269999999999982,100.63050310013872,0.6295299585024702,3523.9379999999883,3486.326666666665,3440.6689999999994,3523.210626043429,85.65821004252535,87.46743396535959,83.5230609621032,95.35617997187236,2.9627860134960766,74.7652283874452,14.050400000000081
2020-01-14,3537.56,3525.73,3545.3,3520.17,3530.36,7.199999999999818,0.20394520672112243,25.13000000000011,100.71388597709769,0.7118254229030497,3513.5759999999877,3481.2899999999986,3434.289999999999,3515.305939065144,83.89685335957061,87.60873151240737,81.55087446047501,99.7244456162721,2.930827856708063,74.56006631545888,16.307200000000012
2020-01-13,3530.36,3512.56,3533.1,3505.95,3503.45,26.91000000000031,0.76810001569882,27.15000000000009,100.77439780943824,0.7749504060283461,3499.6519999999873,3476.6533333333323,3428.8443333333325,3504.1789085977157,76.33619714856232,84.90871645386996,78.52194593450882,97.68225749259224,2.784483263980183,73.57631332346575,17.661599999999908
2020-01-10,3503.45,3519.87,3520.69,3498.31,3509.3,-5.850000000000364,-0.16669991166330503,22.38000000000011,100.63973747323709,0.6377340210298381,3487.157999999987,3471.1146666666655,3424.0796666666656,3491.0883628965735,64.3324054995895,78.75379643494146,75.32856067482824,85.6042679551679,2.276589128325459,69.48045785310097,15.394399999999951
2020-01-09,3509.3,3505.09,3515.25,3499.36,3487.21,22.090000000000146,0.6334576925393122,15.889999999999873,100.4540830323259,0.4556651305771626,3477.877999999987,3466.063333333332,3419.4763333333326,3484.90754434486,62.55931685369812,78.14230905427065,73.61594279477163,87.19504157326872,2.5366608211464317,71.72474120162184,16.30159999999996
2020-01-08,3487.21,3467.67,3503.48,3465.69,3467.94,19.269999999999982,0.5556612859507368,37.789999999999964,101.09040335402186,1.089695900159748,3472.3259999999873,3460.0726666666656,3414.6473333333324,3472.7113165172905,50.1666202987967,70.90178493027769,71.35275966502212,69.9998354607888,2.1361044966121887,68.11330741433326,9.639199999999983
2020-01-07,3467.94,3463.68,3471.68,3454.45,3467.89,0.0500000000001819,0.001441798903661359,17.230000000000018,100.49877693988914,0.49684390219989727,3465.839999999987,3455.705333333332,3409.3086666666654,3465.4619747759357,44.56363428722591,68.16135790056967,71.57824703239434,61.32757963692032,1.811641698775183,64.43359050921661,7.940000000000055
2020-01-06,3467.89,3437.62,3468.11,3435.43,3457.05,10.83999999999969,0.31356214113188097,32.68000000000029,100.95126374282113,0.9453146468810196,3461.6839999999875,3450.834666666665,3404.248333333332,3464.222962163904,48.534968963841166,68.02287001317761,73.28669159830669,57.495226842919436,1.8108599476498406,64.42369884575359,10.424799999999868
2020-01-03,3457.05,3434.94,3464.36,3434.59,3481.54,-24.48999999999978,-0.703424346697145,29.769999999999982,100.86677012394492,0.8550813720365121,3461.8139999999876,3446.2313333333313,3399.1823333333323,3462.389443245856,52.036048619348826,67.86644128079686,75.91860239087124,51.762119060648104,1.6534822782458118,62.31367331154406,10.580799999999908
2020-01-02,3481.54,3476.15,3483.32,3460.06,3454.78,26.759999999999764,0.7745789891107324,23.26000000000022,100.67224267787265,0.6732700779789225,3464.8319999999876,3440.0826666666644,3395.111999999999,3465.0591648687837,63.79056989826455,78.75430998193814,79.94468294590844,76.37356405399751,2.468455198917028,71.16872086708126,11.089599999999972
2019-12-31,3454.78,3441.4,3456.25,3438.87,3447.16,7.620000000000346,0.22105153227585447,17.38000000000011,100.50539857569491,0.5041831536685303,3462.715999999987,3431.8786666666647,3389.6813333333325,3456.8187473031753,58.382926453996724,69.81388463264274,80.5398694278936,48.36191504214102,1.9683558667620287,66.31131694156234,9.396800000000075
