Industry,avg_cor1,avg_cor2,count
Forest Products,-0.8441137929198063,0.44358794551085495,11.0
Aluminum,-0.8451729058039579,0.6998688349104861,3.0
Automotive Aftermarket,-0.8454413696825958,0.6098713897518518,28.0
Paper,-0.847308532262537,0.4151486245869859,11.0
Diversified Financial Services,-0.8477125600852546,0.29621599339677696,3.0
Integrated oil Companies,-0.849666717555018,0.5096150749939249,23.0
Savings Institutions,-0.8551166997896232,0.05069567521574076,64.0
Fluid Controls,-0.8554882690148592,0.6918928193380718,9.0
Broadcasting,-0.8556452797082017,0.15195330571769938,36.0
Hotels/Resorts,-0.8586022316335349,0.39362739286135023,35.0
Biotechnology: Laboratory Analytical Instruments,-0.8598532296485414,0.4598088362015147,21.0
Major Banks,-0.8600532951535264,0.2398343326108273,345.0
Banks,-0.8601057464924553,0.030438254304594403,18.0
Miscellaneous,-0.8611721354236149,0.6909077688994669,5.0
Clothing/Shoe/Accessory Stores,-0.8614334755323843,0.29081648067459887,32.0
Homebuilding,-0.8616125043146687,0.37433749240486164,30.0
Retail: Computer Software & Peripheral Equipment,-0.8620176389581015,0.6204776702431946,6.0
Auto Parts:O.E.M.,-0.8665850073796139,0.4445706711088427,34.0
Apparel,-0.8666471104516591,0.32413606275160334,31.0
Books,-0.868551139415334,-0.012579900875041202,3.0
Electrical Products,-0.872005344390122,0.5427917825434548,43.0
Home Furnishings,-0.8720345015113727,0.3079297693016422,27.0
Recreational Products/Toys,-0.8726394645189027,0.40211834352249837,16.0
Steel/Iron Ore,-0.8729486517316184,0.3463138491007969,27.0
Air Freight/Delivery Services,-0.8763039810277425,0.3710671490586593,25.0
Aerospace,-0.8776590862892131,0.49929956101195194,16.0
Oil Refining/Marketing,-0.8778521104114393,0.5131270410491416,17.0
Accident &Health Insurance,-0.8789601957278576,0.5732714438334067,6.0
Paints/Coatings,-0.8805320497258217,0.6078836637893332,4.0
Natural Gas Distribution,-0.8865195462287281,0.7347934286873411,43.0
Consumer Electronics/Appliances,-0.8903145414657438,0.6520425527954471,18.0
Electronic Components,-0.8951745202507898,0.5285540011860614,25.0
Tools/Hardware,-0.9002498527549679,0.5246523899330872,1.0
Commercial Banks,-0.9038458827972374,0.33063788129168936,35.0
Pollution Control Equipment,-0.9061631429591603,0.3279408688697568,4.0
Shoe Manufacturing,-0.9108992096489398,0.5152353151277331,9.0
Medical Electronics,-0.9410830351001462,0.07843532970983186,2.0
