Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyAccProfit,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,75.5185,75.5185,75.5185,75.5185,73.958,1.5605000000000047,2.109981340760979,0.0,0.0,100.0,0.0,74.29991999999999,75.36690666666662,76.13553333333334,74.60052060212207,-0.9057476955178707,52.4380263577575,30.668392490017713,95.97729409323708,1.197247900723525,54.48852176985979,0.7049440000000005
2020-04-17,73.958,74.1841,74.4009,73.6197,74.1841,-0.2261000000000024,-0.30478229162314086,0.979336189145706,0.7811999999999983,101.06112901845566,1.0530558435028508,73.91647999999998,75.62152666666663,75.90386666666667,74.14153090318312,-1.8282428875130399,28.65703953663625,19.78357555614782,46.40396749761312,0.9171134600952366,47.838246362824925,0.4945439999999991
2020-04-16,74.1841,74.1841,74.1841,74.1841,74.8437,-0.6595999999999975,-0.8813033027495936,0.9823301575110734,0.0,100.0,0.0,73.87533999999998,75.94513999999997,75.72421666666666,74.2332963547747,-1.9311161944252113,24.122403885250673,15.346843565903603,41.673524523944806,0.9530326377703664,48.79757866506387,0.5108480000000014
2020-04-15,74.8437,74.8437,74.8437,74.8437,72.9953,1.848399999999998,2.532217827723152,0.9910644411634234,0.0,100.0,0.0,73.88981999999999,76.16453999999997,75.50654,74.25789453216204,-2.164874959324347,16.440033118117128,10.959063406230067,27.40197254189125,1.066146433960676,51.600719892681504,0.5282240000000001
2020-04-14,72.9953,72.9953,72.9953,72.9953,73.6013,-0.6059999999999945,-0.8233550222618278,0.9665883194184205,0.0,100.0,0.0,73.90919999999998,76.38844666666664,75.21401333333333,73.96499179824308,-2.979568037180197,4.497299060861352,8.218578550286537,-2.9452599179890164,0.7573029566663503,43.09461574587991,0.5514800000000009
2020-04-13,73.6013,73.6013,73.6013,73.6013,73.7523,-0.15100000000001046,-0.204739377619424,0.9746128432106039,0.0,100.0,0.0,74.41955999999999,76.74185999999996,74.98044,74.4498376973646,-2.568485102317227,6.745948591292028,10.07921829499913,0.07940918387782503,0.8358957114410323,45.53067509400741,0.659432000000001
2020-04-10,73.7523,74.2565,74.2826,73.1903,74.2565,-0.5041999999999973,-0.6789977981725469,0.976612353264432,1.0923000000000087,101.49241087958379,1.470982338246495,74.90047999999999,77.14134666666662,74.74146,74.87410654604689,-2.20512340237096,6.410005241153221,11.745853146852681,-4.261690570245701,0.856461256321644,46.13407650739879,0.7168639999999982
2020-04-09,74.2565,74.2565,74.2565,74.2565,74.9406,-0.6841000000000008,-0.9128563155352383,0.9832888629938359,0.0,100.0,0.0,75.44838,77.55276666666663,74.51240333333334,75.43500981907033,-1.5561614507540948,4.543446506666311,14.413777099702413,-15.197214679405892,0.9271903753886637,48.110990342698955,0.6798639999999949
2020-04-08,74.9406,74.9406,74.9406,74.9406,75.5471,-0.6064999999999969,-0.8028104321674782,0.9923475704628667,0.0,100.0,0.0,76.04405999999999,77.87943999999996,74.23791,76.02426472860549,-0.7682039135192058,6.815169759999466,19.348942396220462,-18.252375512442526,1.0348630424126803,50.85664346164899,0.655431999999999
2020-04-07,75.5471,75.5471,75.5471,75.5471,76.0059,-0.45879999999999654,-0.6036373492057808,1.000378715149268,0.0,100.0,0.0,76.80213999999998,78.27467999999998,73.92225,76.56609709290824,0.0476611943700469,10.222754639999199,25.615828714330963,-20.56339350866433,1.1442551425344154,53.36375881006195,0.9446480000000065
