,day,change,value
1,1,1.005798917835305,10057.989178353051
2,2,0.9948902120926144,10006.594986876886
3,3,0.9999725924531531,10006.320730656007
4,4,0.998364740233836,9989.957796957833
5,5,0.9981693959853007,9971.670140108046
6,6,0.999443348355908,9966.11939353021
7,7,1.0055565271327502,10021.49640634859
8,8,0.9991483719959401,10012.961819366357
9,9,1.0026912436713238,10039.909139493935
10,10,0.9957730855889967,9997.471302867043
11,11,0.994208500563599,9939.570953451053
12,12,0.9913085146817072,9853.181318439003
13,13,1.0017276543646765,9870.204210149754
14,14,0.9970040334411063,9840.633408406693
15,15,0.9650578597803393,9496.780615999867
16,16,0.9977152187259907,9475.082549485056
17,17,0.9975722237581062,9452.079169181434
18,18,1.0011636836858675,9463.078399508138
19,19,1.015869527447326,9613.25298190533
20,20,0.9965489214846538,9580.07689107689
21,21,0.9905103330973207,9489.165152478514
22,22,0.9993799537709602,9483.281431408985
23,23,0.9805551899699376,9298.880825513617
24,24,1.0061507987159204,9356.076369754683
25,25,0.9764511915468315,9135.751919450113
26,26,0.9973687615847694,9111.71357804764
27,27,1.0055131290106003,9161.947630511055
28,28,0.9841063774933856,9016.33109344634
29,29,1.0239947381906105,9232.675597473448
30,30,1.0044083263992782,9273.376245045762
31,31,1.0101512952329905,9367.513025115823
32,32,0.9930017447444024,9301.956777855927
33,33,1.0043929978931176,9342.82025438292
34,34,1.0128797073341642,9463.153044935072
35,35,1.0114916730252232,9571.900505515112
36,36,0.9956051019758421,9529.832978895987
37,37,0.9927286678126519,9460.538397616489
38,38,0.983927077448242,9308.479896653667
39,39,1.0028671073746216,9335.16830801188
40,40,0.9835234631001554,9181.357062918662
41,41,1.0092034763663822,9265.85746565855
42,42,1.0044676355290787,9307.253939679504
43,43,0.9713177543926994,9040.300996252101
44,44,1.001181414288762,9050.981337023784
45,45,0.9907419107112645,8967.18654365494
46,46,1.006267944233999,9023.392368846435
47,47,1.005173169028625,9070.071902782081
48,48,1.0102918320995373,9163.419559936247
49,49,1.0166315379716675,9315.821320297648
50,50,1.0002885713127208,9318.509599085117
51,51,1.01889983515499,9494.62789439802
52,52,0.997099632983678,9467.089988820855
53,53,0.9553521775576131,9044.405035953883
54,54,1.0103111553312902,9137.66330115871
55,55,0.9770417656038448,8927.878685257561
56,56,1.0126029615016945,9040.396396619662
57,57,0.997663873687859,9019.276888725335
58,58,1.0001767672203188,9020.87120123024
59,59,0.988964429226971,8921.320738654686
60,60,0.9849734895300588,8787.264419169587
61,61,0.9879487092538668,8681.366540791023
62,62,0.9949550056917629,8637.569096005012
63,63,0.979861970226637,8463.625472380183
64,64,0.9872676266986476,8355.863433383003
