,day,change,value
1,1,0.9904707469987779,9904.70746998778
2,2,0.99668249982837,9871.84860125615
3,3,0.996235687320021,9834.687876391608
4,4,1.0011569011752561,9846.065638354083
5,5,1.00224682868331,9868.18806104809
6,6,0.995278074248296,9821.591209719967
7,7,0.989018360793073,9713.734038616898
8,8,0.9882752845740475,9599.843271290725
9,9,1.0119818881967835,9714.867520073976
10,10,1.0171453115386369,9881.431950262227
11,11,0.9960866513447394,9842.76246182762
12,12,0.9812767695436434,9658.474151927645
13,13,0.9903891223229294,9565.647738306321
14,14,0.9262819122941186,8860.486479370289
