,day,change,value
1,1,0.9920932015698243,9920.932015698243
2,2,0.9778156644162195,9700.84273055812
3,3,1.0015878190504355,9716.24591345098
4,4,0.9865389623648059,9585.455161537215
5,5,0.9970300601535614,9556.986936306716
6,6,0.9931812717492116,9491.820439491705
7,7,1.0110724416486623,9596.918067447556
8,8,1.0018749508971738,9614.911817588221
9,9,0.9818274054473093,9440.183923467315
10,10,0.9907354007852118,9352.724402902504
11,11,0.9994955596737454,9348.006511553334
12,12,0.9955603663946968,9306.50478770205
13,13,0.9870913113404409,9186.370014888907
14,14,1.0063788851792073,9244.968814427597
15,15,0.9896792856997345,9149.554132579025
16,16,0.9980813762475054,9131.999580695523
17,17,0.9872252137766702,9015.3402382606
18,18,1.0157458535787054,9157.294465614463
19,19,0.9970958742364118,9130.700530832108
20,20,1.0222342874784198,9333.715151313989
21,21,1.002321938391729,9355.387462861288
22,22,1.0099616218763428,9448.582295272989
23,23,0.9915068063017553,9368.33365566543
24,24,0.9930114308527479,9302.862408118282
25,25,1.0097410756661376,9393.482294747431
26,26,1.0173574763665927,9556.529441678516
27,27,1.0024055951595159,9579.518582645189
28,28,1.0132364820151956,9706.317708078603
29,29,0.9854773247958728,9565.35600857611
30,30,0.9898091704212187,9467.877095632339
31,31,0.9816845669750522,9294.468826798848
32,32,0.9972660113850665,9269.057854844526
33,33,1.0080085288019869,9343.28937164233
34,34,0.9909333102349308,9258.57666552438
35,35,1.0280937824415268,9518.68510408382
36,36,0.9949720172932199,9470.8253199892
37,37,0.995313077493201,9426.436295638981
38,38,1.0026045218463457,9450.98765490416
39,39,1.0029593240159382,9478.956189645653
40,40,0.994397841747458,9425.853577002346
41,41,0.9941330356650215,9370.552430239344
42,42,0.9860997834525017,9240.299722289332
43,43,1.0003868158847584,9243.874017001843
44,44,1.012685195250821,9361.1343637815
45,45,1.0000748592297404,9361.835131089469
46,46,0.978632232872802,9161.793618125128
47,47,1.0022358119950567,9182.277666192766
48,48,0.9764919243049294,8966.41998776275
49,49,0.9976122244036008,8945.010188928905
50,50,1.0046365053856403,8986.483776844481
51,51,0.9991342161578356,8978.703424392615
52,52,0.9890962762801717,8880.802122890762
53,53,1.0111794298290322,8980.08442704914
54,54,1.0000780302581023,8980.785145354763
55,55,1.0167023742149754,9130.78557959677
56,56,0.9975025934145789,9107.982295560218
57,57,1.018145501406751,9273.25120111697
58,58,0.9941106759724506,9218.63802000473
59,59,1.0137572826191632,9345.461428609698
60,60,0.9993933096489235,9339.791627334602
61,61,0.9831155780924362,9182.094644969953
62,62,0.9786161651027248,8985.74624907076
63,63,0.9983403679801031,8970.833216873134
64,64,0.9711321786593871,8711.864806292004
